CUSTNAME,CITY,CREDITCARD_TYPE,CUST_ID,ORDER_ID,ORDER_SALESMAN,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,ORDER_TYPE,GENERATION,Dinosaur Planet,Isle of Man TT 2004 Review,Character,Paula Abduls Get Up & Dance,The Rise and Fall of ECW,Sick,8 Man,What the Do We Know!?,The Rings,Class of Nuke Em High 2,,Fighter,Full Frame Documentary Shorts,My Favorite Brunette,Lord of the Rings The Return of the King Extended Edition Bonus Material,Nature Antarctica,Neil Diamond Greatest Hits Live,Screamers,7 Seconds,Immortal Beloved,By Dawns Early Light,Seeta Aur Geeta,Strange Relations,Chump Change,Clifford Clifford Saves the Day! / Cliffords Fluffiest Friend Cleo,My Bloody Valentine,Inspector Morse 31 Death Is Now My Neighbour,Never Die Alone,Sesame Street Elmos World The Street We Live On
Alfonso Frazier     ,Albuquerque,American Express,10051,6487,NW181 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonso Frazier     ,Albuquerque,American Express,10051,7945,NE241 ,In-Progress,Phone,Occasional,LowValue,Gen_X,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,3,
Reda Fullilove      ,Alcalali,Diners Club,10055,925,WE157 ,In-Progress,Phone,FirstTime,LowValue,Gen_Y,,,,,3,3,,,,,,,,,,,,,,,,3,,,,,,,
Reda Fullilove      ,Alcalali,Diners Club,10055,1282,WE157 ,Complete,Phone,FirstTime,HighValue,Gen_Y,,,,,,4,,,,,4,,,,,,1,,,,4,,,,,,,,
Reda Fullilove      ,Alcalali,Diners Club,10055,4950,NE103 ,Complete,Phone,FirstTime,MediumValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Cecil Games         ,Aldearrubia,VISA,10059,1985,WE415 ,In-Progress,Phone,FirstTime,LowValue,Gen_Z,,,,,3,3,,,,,,,,,,,,,,3,,,,,,,,4,3
Cecil Games         ,Aldearrubia,VISA,10059,3363,NW244 ,Complete,Phone,FirstTime,HighValue,Gen_Z,,,,,,3,,3,,,,,,,,,,,,,,3,,,4,,3,,
Edward Turner       ,Alexandria,Diners Club,10063,564,SW343 ,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,3,,4,3,2,3,,3,,3,,3,,3,3,3,2,,,4,2,,,,,,,3,3
Edward Turner       ,Alexandria,Diners Club,10063,1506,SE403 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,3,4,,,,,,,,,,,,,,,3,,,,,,,,
Edward Turner       ,Alexandria,Diners Club,10063,3586,NW115 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,3,,,,,,,,3,4,,,,,,1,,,,,,3,5,1
Amy Randle          ,Algaida,VISA,10067,1042,SE334 ,Cancelled,Phone,Frequent,MediumValue,Gen_Y,,,,,4,,,,,,,,,,,,,5,5,5,,,,,,,,,
Amy Randle          ,Algaida,VISA,10067,1239,SE208 ,Complete,Phone,Frequent,LowValue,Gen_Y,,,,,,4,,4,4,,,,,,,,3,,,4,2,,3,,,,,4,
Rafael Middleton    ,Allentown,JCB,10075,670,SC130 ,Complete,Desktop,Frequent,MediumValue,Baby_Boomers,,,,,1,4,,,,,,,,,,,5,,,4,4,,,,,,,4,
Rafael Middleton    ,Allentown,JCB,10075,2231,WE220 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,
Rafael Middleton    ,Allentown,JCB,10075,9068,NW379 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Bruner         ,Alma,American Express,10079,3545,SW142 ,Complete,Phone,Frequent,LowValue,Gen_Z,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,
Linda Garcia        ,Alpo,JCB,10083,1728,SC199 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,5,,,,,,,,,,,,,,,,,,,,,4,
Quinn Perry         ,Amarillo,American Express,10091,3359,SC199 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Quinn Perry         ,Amarillo,American Express,10091,6717,SE400 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,5,,,,,,,,,,,4,,,,,,,,,,,5,
Quinn Perry         ,Amarillo,American Express,10091,7265,WE286 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,,,,,,3,,,,,,,,4,,,3,,,,,,,,,,,,
Kristin Mendoza     ,Anaheim,Diners Club,10095,2162,SW340 ,Cancelled,Phone,Frequent,LowValue,Gen_Z,,,,,4,3,,,,,3,,,,,,,,,,5,,,,,,,,
Kristin Mendoza     ,Anaheim,Diners Club,10095,3305,SW217 ,Complete,Phone,Frequent,LowValue,Gen_Z,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,5,
Kristin Mendoza     ,Anaheim,Diners Club,10095,3967,NW316 ,Complete,Phone,Frequent,HighValue,Gen_Z,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,
Kristin Mendoza     ,Anaheim,Diners Club,10095,4382,NC358 ,Cancelled,Phone,Frequent,LowValue,Gen_Z,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,3,
Kristin Mendoza     ,Anaheim,Diners Club,10095,6009,NW379 ,Complete,Phone,Frequent,MediumValue,Gen_Z,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,
Michael Gordon      ,Ancona,Diners Club,10099,5481,RP385 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,4,
Phyllis White       ,Angas Plains,American Express,10103,2118,NE103 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,3,,,,,,,,,,,3,,,,3,,,,,,,3,
Phyllis White       ,Angas Plains,American Express,10103,3746,SW217 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Phyllis White       ,Angas Plains,American Express,10103,4425,WE355 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Phyllis White       ,Angas Plains,American Express,10103,4942,NE109 ,In-Progress,Phone,Occasional,LowValue,Gen_X,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,
Katherine Mullins   ,Angwin,Diners Club,10107,825,WE349 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Katherine Mullins   ,Angwin,Diners Club,10107,2024,RP190 ,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,3,3
Katherine Mullins   ,Angwin,Diners Club,10107,2582,WE154 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,2,,3,4,,,,,,,,,,3,,,,,,,,,,,,4,
Katherine Mullins   ,Angwin,Diners Club,10107,7943,SE268 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,5,5,,,,,,,,,,,,,,,3,3,,,,,,,
Lisa Guest          ,Annone Veneto,Diners Club,10111,5147,NC295 ,Cancelled,Phone,Frequent,LowValue,Gen_Z,,,,,,4,,,,,,,,,,3,,,,5,4,,,,,,,,
Lisa Guest          ,Annone Veneto,Diners Club,10111,8444,SC199 ,Complete,Phone,Frequent,LowValue,Gen_Z,,,4,,4,3,,,,,,,,,,,,,5,,,,,,,,5,,
Scott Lawson        ,Antioch,JCB,10115,479,WE421 ,Complete,Desktop,Occasional,LowValue,Gen_Z,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,
Scott Lawson        ,Antioch,JCB,10115,1059,SW211 ,In-Progress,Phone,Occasional,MediumValue,Gen_Z,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,4,
Scott Lawson        ,Antioch,JCB,10115,2971,SE331 ,Abandoned,Phone,Occasional,MediumValue,Gen_Z,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,,
Scott Lawson        ,Antioch,JCB,10115,3865,SW406 ,Complete,Phone,Occasional,MediumValue,Gen_Z,,,,,3,5,,,,,,,,,,,3,,,2,3,,,,,,,,
Scott Lawson        ,Antioch,JCB,10115,4448,WE286 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,,,,3,,,,,,,,,,,4,,,,,,,,,,,,
Scott Lawson        ,Antioch,JCB,10115,6683,NC166 ,In-Progress,Desktop,Occasional,HighValue,Gen_Z,,,3,,4,,,,,,,2,,,,,,,,5,2,,,,,,5,4,3
Robert Bilbo        ,Appiano Gentile,JCB,10119,155,NW118 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,
Robert Bilbo        ,Appiano Gentile,JCB,10119,1969,SW142 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed Richard       ,Appleton,JCB,10123,4564,SW274 ,Complete,Phone,FirstTime,LowValue,Gen_Z,,,,,,2,,,,,,,,,,,,,,,,,4,,,,,5,
Ahmed Richard       ,Appleton,JCB,10123,6596,NW247 ,Cancelled,Phone,FirstTime,LowValue,Gen_Z,2,2,,,3,3,,,,,,,,,,,4,,,,3,5,,,,,,,
Ahmed Richard       ,Appleton,JCB,10123,7325,NW112 ,Complete,Phone,FirstTime,HighValue,Gen_Z,,,,,5,,,,,,5,4,,3,,,,4,3,,5,,,4,,,4,5,
Ahmed Richard       ,Appleton,JCB,10123,7496,NW247 ,Complete,Phone,FirstTime,LowValue,Gen_Z,,,3,,,3,,,,,,,,,,,,,,,3,,,,,,3,,
Ahmed Richard       ,Appleton,JCB,10123,7989,WE151 ,Complete,Desktop,FirstTime,LowValue,Gen_Z,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,
Ray Hornsby         ,Archez,VISA,10127,3665,WE352 ,Complete,Phone,Occasional,LowValue,Gen_X,,,4,,2,4,,,,,,,,,,,,,,,,,,,,5,,,
Jason Glass         ,Argenton,Diners Club,10131,1866,NC100 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,3
Jason Glass         ,Argenton,Diners Club,10131,5009,NW187 ,Abandoned,Desktop,Frequent,MediumValue,Baby_Boomers,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,4,4
Jason Glass         ,Argenton,Diners Club,10131,7982,WE289 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,3,5,,,,,,,,,,,,,,,4,,,,,,,,
Natalie White       ,Arlington,VISA,10135,5052,SE136 ,Complete,Phone,Occasional,HighValue,Gen_Z,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Natalie White       ,Arlington,VISA,10135,7836,NC298 ,Complete,Desktop,Occasional,HighValue,Gen_Z,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,
Donna Klock         ,Arlington,VISA,10139,4045,NW184 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Donna Klock         ,Arlington,VISA,10139,4082,NW247 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,3,,,,4,,,,,4,,,,4,,,4,,,,,,,,,,,
Donna Klock         ,Arlington,VISA,10139,6973,NC163 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,2,,5,,5,,,,,,5,,,,5,,4,5,,,,3,,,,
Donna Klock         ,Arlington,VISA,10139,8786,NW382 ,In-Progress,Phone,Occasional,LowValue,Baby_Boomers,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,3,
Donald Velazquez    ,Aschersleben,JCB,10147,1102,WE151 ,Complete,Phone,FirstTime,LowValue,Gen_Z,,,,,,3,,,,,,,,,,,4,,,5,,,,,,,,,
Donald Velazquez    ,Aschersleben,JCB,10147,5244,NC229 ,Cancelled,Desktop,FirstTime,MediumValue,Gen_Z,,,2,,,2,,,,4,,,,,,,,3,,,,,,,,,,1,
Harry Brumback      ,Asheboro,Discover,10151,5206,NC298 ,Complete,Desktop,Frequent,LowValue,Baby_Boomers,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,
Harry Brumback      ,Asheboro,Discover,10151,5252,SE208 ,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,,,,2,,,4,,,,,,,,,3,,4,,,,,,,,,,5,
Harry Brumback      ,Asheboro,Discover,10151,8270,NW244 ,Complete,Desktop,Frequent,LowValue,Baby_Boomers,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Harold Magee        ,Ashland,American Express,10155,1267,WE223 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,4,
Harold Magee        ,Ashland,American Express,10155,2983,NE172 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,5,
Harold Magee        ,Ashland,American Express,10155,5455,NC100 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,5,,,,,,,,,,,,3,,,,,,,,,,,
Harold Magee        ,Ashland,American Express,10155,8471,WE157 ,Abandoned,Phone,Occasional,LowValue,Gen_Y,,,,,,3,,,,,,,,,,,,,,,,,,4,,,,4,
Harold Magee        ,Ashland,American Express,10155,8974,NW247 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,3
Melba Whitehead     ,Asquith,American Express,10159,601,NE178 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,5,5,,,5,,5,2,3,3,,,,,,2,4,5,,4,5,,,,
Melba Whitehead     ,Asquith,American Express,10159,810,RP385 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Melba Whitehead     ,Asquith,American Express,10159,3072,NC364 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,3,4,4,,,,,,,,3,,3,3,3,,,3,4,,,4,4,,,
Melba Whitehead     ,Asquith,American Express,10159,4170,SC256 ,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,4
Melba Whitehead     ,Asquith,American Express,10159,7795,NC169 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,5,,,,,,,,,,,,,,,,,,,,,,3,
Ivan Case           ,Athens,Diners Club,10163,1566,SE397 ,Complete,Desktop,FirstTime,HighValue,Gen_Y,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
Ivan Case           ,Athens,Diners Club,10163,1740,RP319 ,In-Progress,Phone,FirstTime,HighValue,Gen_Y,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,5,
Bob Davenport       ,Atlanta,Discover,10167,1901,SE136 ,Complete,Phone,Frequent,HighValue,Gen_Z,2,,,,,4,,,,,,,,,,,1,,,,,,3,,,,,3,4
Jennifer Howard     ,Atlanta,Discover,10171,2171,SW343 ,Complete,Phone,FirstTime,LowValue,Gen_Z,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,4,
Jennifer Howard     ,Atlanta,Discover,10171,7867,NC358 ,Cancelled,Phone,FirstTime,LowValue,Gen_Z,4,,,,,4,,,,4,,,,,,,2,,,,,,,,,,,5,5
Jennifer Howard     ,Atlanta,Discover,10171,8182,NE238 ,Complete,Phone,FirstTime,LowValue,Gen_Z,1,2,,,4,5,,,,,4,4,,3,,,,4,,3,2,3,1,,3,2,,,
Jana Hall           ,Atlantic City,American Express,10179,5684,SE400 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,
Jana Hall           ,Atlantic City,American Express,10179,8402,SW274 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,2,,,,,4,,4,,,3,,,4,,,1,,,,,,3,,,,,5,3
Arlene Cruz         ,Auburn,JCB,10183,2269,RP190 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlene Cruz         ,Auburn,JCB,10183,6950,SW217 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,2,,,,,,,,3,,,,,,2,,,3,,,,4,4,
Mildred Carey       ,Aulnay-sous-bois,American Express,10187,1385,WE223 ,Cancelled,Desktop,Frequent,MediumValue,Baby_Boomers,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,5,
Mildred Carey       ,Aulnay-sous-bois,American Express,10187,2039,SE271 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,3,,,,,,,,,3,3,,,,3,,,,,,,,4,
Mildred Carey       ,Aulnay-sous-bois,American Express,10187,2961,SE136 ,Complete,Phone,Frequent,HighValue,Baby_Boomers,,,,,,4,,,,,3,,,4,4,,,,,,,,,,,,,,
Mildred Carey       ,Aulnay-sous-bois,American Express,10187,3576,SE268 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,5
Yasmin Cole         ,Austin,VISA,10195,1210,SW406 ,Complete,Desktop,Occasional,HighValue,Baby_Boomers,,,,,,2,,,,,,1,,,,3,,3,,,,,,,,,,5,
Yasmin Cole         ,Austin,VISA,10195,1562,WE226 ,Abandoned,Desktop,Occasional,LowValue,Baby_Boomers,3,,,,,2,,,,,3,2,,,,,,,,5,,3,,,,,,,
Yasmin Cole         ,Austin,VISA,10195,1950,NC358 ,Complete,Desktop,Occasional,HighValue,Baby_Boomers,,,,,,4,,,,,,,,,,5,,,,,,,,,,,,5,
Yasmin Cole         ,Austin,VISA,10195,4525,NE178 ,Complete,Desktop,Occasional,HighValue,Baby_Boomers,,,,,,3,5,2,5,,,1,,,,,,,,,,,,,,,,4,
Yasmin Cole         ,Austin,VISA,10195,7524,SC124 ,Complete,Desktop,Occasional,HighValue,Baby_Boomers,,,,,4,4,,,,3,,,,,4,,3,,,,1,,,,,,,4,3
Jodi Bugg           ,Avio,American Express,10203,1078,NE172 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,3,3,,,,,,,,,,,,,,4,,,,,,,,2,
Jodi Bugg           ,Avio,American Express,10203,7969,WE355 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,3,,,5,,,,,,,,,,1,,,,,2,,,,,,,,
Henry Williams      ,Back Plains,American Express,10207,8579,SE133 ,Complete,Desktop,Occasional,LowValue,Baby_Boomers,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,5,2
Allen Rice          ,Badia Di Cava De Tirreni,VISA,10211,3605,WE289 ,In-Progress,Phone,FirstTime,MediumValue,Gen_Z,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,4,
Allen Rice          ,Badia Di Cava De Tirreni,VISA,10211,4985,NE238 ,Complete,Phone,FirstTime,HighValue,Gen_Z,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,4
Allen Rice          ,Badia Di Cava De Tirreni,VISA,10211,7014,SC259 ,Abandoned,Phone,FirstTime,LowValue,Gen_Z,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Bradford Claassen   ,Bagnasco,JCB,10215,28,RP319 ,Complete,Phone,FirstTime,MediumValue,Gen_Z,,2,,,,5,,,,,,,,,,,3,,,,,,,,,,,,
Bradford Claassen   ,Bagnasco,JCB,10215,9132,SC394 ,Complete,Phone,FirstTime,MediumValue,Gen_Z,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,
Elizabeth Turner    ,Baia Del Re,American Express,10219,2700,SW412 ,Complete,Phone,Occasional,LowValue,Gen_Z,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,
Elizabeth Turner    ,Baia Del Re,American Express,10219,5899,SC127 ,Complete,Desktop,Occasional,LowValue,Gen_Z,,,,,5,,,,,,3,,,,,,,,,,,3,,,,,,4,
Dwight Armenta      ,Bakersfield,Diners Club,10223,3590,NC298 ,Complete,Phone,FirstTime,MediumValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Dwight Armenta      ,Bakersfield,Diners Club,10223,4750,SC130 ,Complete,Phone,FirstTime,LowValue,Gen_Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Dwight Armenta      ,Bakersfield,Diners Club,10223,6558,SW145 ,Complete,Phone,FirstTime,MediumValue,Gen_Z,,,4,,5,5,3,,4,,4,4,4,,,,4,5,5,4,5,,,,5,,,,5
Michael Pritchard   ,Balliang,Diners Club,10227,2083,SW142 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,4,4,4,,,,4,4,,,,,,4,5,4,,,,,,,,4,4
Michael Pritchard   ,Balliang,Diners Club,10227,3492,SE205 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4
Elizabeth Martinez  ,Baltimore,Diners Club,10231,569,NW379 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,
Elizabeth Martinez  ,Baltimore,Diners Club,10231,1479,NE109 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,4,,,3,,,,,,,,4,2,4,1,,,4,,,,,3,,,,
Mary Bates          ,Baltimore,Diners Club,10235,1511,SE271 ,Complete,Phone,Occasional,LowValue,Gen_Z,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,4,
